time, user cpu usage, system cpu usage, idle cpu percentage, bytes available, bytes active
2024-12-03 19:20:58.669459 , 13.98%, 15.32%, 70.69%, 90292224, 23446765568
2024-12-03 19:21:00.379548 , 24.5%, 15.56%, 60.37%, 155516928, 23251992576
2024-12-03 19:21:01.963937 , 12.2%, 14.32%, 73.46%, 155582464, 23332995072
2024-12-03 19:21:03.567217 , 15.97%, 14.92%, 69.9%, 177799168, 23297376256
2024-12-03 19:21:05.172683 , 14.68%, 15.31%, 70.0%, 173457408, 23242604544
2024-12-03 19:21:06.853579 , 39.5%, 19.82%, 41.12%, 297877504, 23154769920
2024-12-03 19:21:08.489105 , 29.9%, 16.46%, 54.43%, 74022912, 23324131328
2024-12-03 19:21:10.088612 , 14.55%, 15.46%, 69.97%, 63602688, 23294443520
2024-12-03 19:21:11.680529 , 15.47%, 15.75%, 68.77%, 71909376, 23333306368
2024-12-03 19:21:13.260565 , 12.77%, 14.48%, 72.73%, 75300864, 23344037888
2024-12-03 19:21:14.820121 , 11.36%, 12.73%, 75.89%, 71745536, 23430086656
2024-12-03 19:21:16.383678 , 10.91%, 13.6%, 76.2%, 65355776, 23297769472
2024-12-03 19:21:17.979390 , 16.43%, 13.84%, 69.72%, 67420160, 23355342848
2024-12-03 19:21:19.556145 , 14.29%, 14.58%, 71.12%, 60522496, 23333486592
2024-12-03 19:21:21.141688 , 15.2%, 13.71%, 71.7%, 77414400, 23435526144
2024-12-03 19:21:22.711037 , 12.63%, 14.5%, 72.86%, 72155136, 23432298496
2024-12-03 19:21:24.311733 , 18.47%, 15.46%, 66.6%, 55721984, 23433052160
2024-12-03 19:21:25.938500 , 14.9%, 15.24%, 69.84%, 56983552, 23334354944
2024-12-03 19:21:27.557453 , 21.7%, 14.9%, 63.38%, 50495488, 23359897600
2024-12-03 19:21:29.119005 , 11.32%, 13.9%, 74.76%, 48857088, 23427530752
2024-12-03 19:21:30.702016 , 13.65%, 16.28%, 70.5%, 76922880, 23406346240
2024-12-03 19:21:32.349724 , 28.19%, 18.66%, 53.14%, 77807616, 23403364352
2024-12-03 19:21:33.946957 , 16.22%, 17.6%, 66.71%, 61243392, 23336402944
2024-12-03 19:21:35.527204 , 13.55%, 14.83%, 71.61%, 72187904, 23317725184
