Label,TodoCount,TimeElapsed
Delete,1,2212
Delete,5,8520
Delete,10,21788
Delete,25,39672
Delete,50,63689
Delete,100,147623
Delete,200,262717
Update_Put_TitleOnly,1,2423
Update_Put_TitleOnly,5,9990
Update_Put_TitleOnly,10,15860
Update_Put_TitleOnly,25,38283
Update_Put_TitleOnly,50,80225
Update_Put_TitleOnly,100,159997
Update_Put_TitleOnly,200,253985
Update_Put_AllFields,1,1414
Update_Put_AllFields,5,9653
Update_Put_AllFields,10,29323
Update_Put_AllFields,25,32951
Update_Put_AllFields,50,53739
Update_Put_AllFields,100,117130
Update_Put_AllFields,200,277427
Update_Post_TitleOnly,1,1700
Update_Post_TitleOnly,5,6683
Update_Post_TitleOnly,10,12054
Update_Post_TitleOnly,25,34183
Update_Post_TitleOnly,50,76571
Update_Post_TitleOnly,100,138846
Update_Post_TitleOnly,200,244564
Create_OnlyTitle,1,113562
Create_OnlyTitle,5,46712
Create_OnlyTitle,10,89709
Create_OnlyTitle,25,156394
Create_OnlyTitle,50,317596
Create_OnlyTitle,100,504400
Create_OnlyTitle,200,938989
Update_Post_AllFields,1,1333
Update_Post_AllFields,5,7446
Update_Post_AllFields,10,10527
Update_Post_AllFields,25,30474
Update_Post_AllFields,50,46470
Update_Post_AllFields,100,118735
Update_Post_AllFields,200,215834
Create_AllFields,1,4776
Create_AllFields,5,18893
Create_AllFields,10,36869
Create_AllFields,25,110163
Create_AllFields,50,203088
Create_AllFields,100,416480
Create_AllFields,200,818185
