Label,TodoCount,TimePerTodo
Delete,1,2212.000000
Delete,5,1704.000000
Delete,10,2178.800049
Delete,25,1586.880005
Delete,50,1273.780029
Delete,100,1476.229980
Delete,200,1313.584961
Update_Put_TitleOnly,1,2423.000000
Update_Put_TitleOnly,5,1998.000000
Update_Put_TitleOnly,10,1586.000000
Update_Put_TitleOnly,25,1531.319946
Update_Put_TitleOnly,50,1604.500000
Update_Put_TitleOnly,100,1599.969971
Update_Put_TitleOnly,200,1269.925049
Update_Put_AllFields,1,1414.000000
Update_Put_AllFields,5,1930.599976
Update_Put_AllFields,10,2932.300049
Update_Put_AllFields,25,1318.040039
Update_Put_AllFields,50,1074.780029
Update_Put_AllFields,100,1171.300049
Update_Put_AllFields,200,1387.135010
Update_Post_TitleOnly,1,1700.000000
Update_Post_TitleOnly,5,1336.599976
Update_Post_TitleOnly,10,1205.400024
Update_Post_TitleOnly,25,1367.319946
Update_Post_TitleOnly,50,1531.420044
Update_Post_TitleOnly,100,1388.459961
Update_Post_TitleOnly,200,1222.819946
Create_OnlyTitle,1,113562.000000
Create_OnlyTitle,5,9342.400391
Create_OnlyTitle,10,8970.900391
Create_OnlyTitle,25,6255.759766
Create_OnlyTitle,50,6351.919922
Create_OnlyTitle,100,5044.000000
Create_OnlyTitle,200,4694.944824
Update_Post_AllFields,1,1333.000000
Update_Post_AllFields,5,1489.199951
Update_Post_AllFields,10,1052.699951
Update_Post_AllFields,25,1218.959961
Update_Post_AllFields,50,929.400024
Update_Post_AllFields,100,1187.349976
Update_Post_AllFields,200,1079.170044
Create_AllFields,1,4776.000000
Create_AllFields,5,3778.600098
Create_AllFields,10,3686.899902
Create_AllFields,25,4406.520020
Create_AllFields,50,4061.760010
Create_AllFields,100,4164.799805
Create_AllFields,200,4090.925049
