time, user cpu usage, system cpu usage, idle cpu percentage, bytes available, bytes active
2024-11-30 00:36:06.083998 , 19.84%, 20.91%, 59.24%, 968048640, 29669179392
2024-11-30 00:36:07.244280 , 10.43%, 14.24%, 75.32%, 968654848, 29836771328
2024-11-30 00:36:08.419954 , 11.1%, 13.8%, 75.1%, 945651712, 29961846784
2024-11-30 00:36:09.646533 , 21.71%, 14.54%, 63.73%, 965984256, 30034558976
2024-11-30 00:36:10.815136 , 9.41%, 13.32%, 77.25%, 957136896, 29985341440
2024-11-30 00:36:12.027027 , 20.86%, 15.57%, 63.55%, 969490432, 29920854016
2024-11-30 00:36:13.238734 , 35.54%, 16.61%, 47.83%, 946585600, 30014078976
2024-11-30 00:36:14.405377 , 13.42%, 14.42%, 72.14%, 936394752, 30132224000
2024-11-30 00:36:15.555122 , 9.42%, 13.6%, 77.5%, 940261376, 30135664640
2024-11-30 00:36:16.719298 , 12.57%, 13.27%, 74.14%, 953106432, 30033887232
2024-11-30 00:36:17.915333 , 13.15%, 14.31%, 72.53%, 948862976, 30047092736
2024-11-30 00:36:19.073518 , 10.37%, 12.68%, 76.93%, 951533568, 30146625536
2024-11-30 00:36:20.250665 , 11.26%, 13.43%, 75.29%, 938688512, 29993697280
2024-11-30 00:36:21.410038 , 9.8%, 13.71%, 76.47%, 483868672, 30257053696
2024-11-30 00:36:22.583883 , 13.22%, 14.91%, 71.86%, 1026965504, 29705355264
