Label,TodoCount,TimePerTodo
Delete,1,2315.000000
Delete,5,2393.600098
Delete,10,1532.300049
Delete,25,1808.760010
Delete,50,1241.619995
Delete,100,1518.250000
Delete,200,1414.915039
Update_Put_TitleOnly,1,1879.000000
Update_Put_TitleOnly,5,2793.800049
Update_Put_TitleOnly,10,1808.900024
Update_Put_TitleOnly,25,2428.800049
Update_Put_TitleOnly,50,1644.300049
Update_Put_TitleOnly,100,1178.280029
Update_Put_TitleOnly,200,1472.484985
Update_Put_AllFields,1,1954.000000
Update_Put_AllFields,5,2384.600098
Update_Put_AllFields,10,1369.300049
Update_Put_AllFields,25,1840.800049
Update_Put_AllFields,50,1255.300049
Update_Put_AllFields,100,1321.930054
Update_Put_AllFields,200,1400.364990
Update_Post_TitleOnly,1,1393.000000
Update_Post_TitleOnly,5,1714.599976
Update_Post_TitleOnly,10,881.700012
Update_Post_TitleOnly,25,977.159973
Update_Post_TitleOnly,50,1164.160034
Update_Post_TitleOnly,100,1322.859985
Update_Post_TitleOnly,200,1351.814941
Create_OnlyTitle,1,129626.000000
Create_OnlyTitle,5,8981.799805
Create_OnlyTitle,10,9652.400391
Create_OnlyTitle,25,6531.399902
Create_OnlyTitle,50,6158.060059
Create_OnlyTitle,100,5462.930176
Create_OnlyTitle,200,4556.294922
Update_Post_AllFields,1,1966.000000
Update_Post_AllFields,5,2019.199951
Update_Post_AllFields,10,3235.300049
Update_Post_AllFields,25,1221.319946
Update_Post_AllFields,50,1105.439941
Update_Post_AllFields,100,1167.839966
Update_Post_AllFields,200,1165.895020
Create_AllFields,1,6068.000000
Create_AllFields,5,3748.600098
Create_AllFields,10,5053.500000
Create_AllFields,25,3921.479980
Create_AllFields,50,3877.679932
Create_AllFields,100,4026.469971
Create_AllFields,200,4061.685059
